"NationalTreasure",2h11m,Action/Adventure/Mystery
"LettersfromIwoJima",2h21m,War/Drama
"KillBill",1h52m,Action/MartialArts
"TheCountofMonteCristo",2h14m,Adventure/Romance
"3:10toYuma",2h02m,Western/Drama
"ReignofFire",1h42m,Action/Fantasy
"OldSchool",1h33m,Comedy
"CastAway",2h23m,Adventure/Drama
"Rosemary'sBaby",2h17m,Horror
"BenHur",3h44m,Drama/Adventure
"Hachi",1h33m,Family/Drama
"ConAir",2h03m,Action/Thriller
"DanceswithWolves",3h56m,Western/Drama
"TheIronGiant",1h30m,Animation/Family
"OneflewovertheCuckoo'sNest",2h14m,Drama/Comedy
"Hero",2h00m,Action/Drama
"GirlInterrupted",2h07m,Drama
"TheProfessional",1h50m,Action/Drama
"AmericanHistoryX",1h59m,Crime/Drama
"TheProducers",1h30m,Musical/Comedy
"Downfall",2h36m,War/Drama
"UncutGems",2h15m,Crime/Dark
"AUnitedKingdom",1h51m,Romance/Drama
"TheIrishman",3h30m,Crime
"AQuietPlace",1h31m,Horror
"TheMission",2h06m,HistoricalDrama
"Emma.",2h12m,Romance
"Tombstone",2h14m,Western
"GreenBook",2h10m,Drama
"TheThing",1h49m,Horror
"EasyA",1h32m,Comedy
"StandByMe",1h29m,Drama
"Casablanca",1h42m,Romance
"MommyDearest",2h09m,Drama
"CitizenKane",1h59m,Drama
"ReservoirDogs",1h40m,Crime
"SayAnything",1h40m,Comedy/Romance
"HighFidelity",1h54m,Romance
"Silence",2h41m,Drama/Epic
"AGhostStory",1h32m,Romance
"Snatch",1h44m,Comedy
"Clerks",1h42m,Comedy
"MysticRiver",2h18m,Thriller/Mystery
"TheLighthouse",1h50m,Horror
"FistfulofDollars",1h40m,Western
"TheGood,theBad,andtheUgly",3h58m,Western
"DieHard",2h12m,Action
"TheGodfather",2h58m,Crime/Drama
"CrouchingTigerHiddenDragon",2h00m,Action/Adventure
"Alien",1h57m,Horror/Sci-fi
"SenseandSensibility",2h20m,PeriodRomance
"RiseofthePlanetoftheApes",1h45m,Sci-Fi/Action
"PlanetoftheApes",1h55m,Sci-Fi/Adventure
"SavingPrivateRyan",2h50m,Historical/Action
"1917",1h59m,Historical/Action
"There'sSomethingAboutMary",2h14m,Romance
"Dunkirk",1h46m,Historical/Action
"ARoomWIthaView",1h57m,Romance
"BigtroubleinLittleChina",1h39m,Action/Fantasy
"DallasBuyersClub",2h00m,HistoricalDrama
"ChildrenofMen",1h54m,Sci-fi/Thriller
"DarkestHour",2h05m,HistoricalDrama
"Hunger",1h36m,HistoricalDrama
"TheContender",2h09m,Thriller
"ThreeAmigos",1h45m,Comedy
"RainMan",2h14m,Drama
"SixteenCandles",1h33m,Romance
"She'sAllThat",1h37m,Romance
"RomanHoliday",1h58m,Romance
"TheLastEmperor",3h39m,HistoricalDrama
"FistsofFury",1h32m,Action
"EntertheDragon",1h50m,Action
"JojoRabbit",1h48m,War/Comedy
